check_id,label,category_id,category_name,raw_value,normalized,tool,deduplicated,timestamp,environment_label,runtime_seconds
checking_processid_using_wmi,Checking ProcessId using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_power_capabilities,Checking power capabilities,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cpu_fan_using_wmi,Checking CPU fan using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_ntquerylicensevalue_with_kernel_vmdetection_private,Checking NtQueryLicenseValue with Kernel-VMDetection-Private,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_cachememory_with_wmi,Checking Win32_CacheMemory with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_physicalmemory_with_wmi,Checking Win32_PhysicalMemory with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_memorydevice_with_wmi,Checking Win32_MemoryDevice with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_memoryarray_with_wmi,Checking Win32_MemoryArray with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_voltageprobe_with_wmi,Checking Win32_VoltageProbe with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_portconnector_with_wmi,Checking Win32_PortConnector with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_win32_smbiosmemory_with_wmi,Checking Win32_SMBIOSMemory with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_thermalzoneinfo_performance_counters_with_wmi,Checking ThermalZoneInfo performance counters with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_memory_with_wmi,Checking CIM_Memory with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_sensor_with_wmi,Checking CIM_Sensor with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_numericsensor_with_wmi,Checking CIM_NumericSensor with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_temperaturesensor_with_wmi,Checking CIM_TemperatureSensor with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_voltagesensor_with_wmi,Checking CIM_VoltageSensor with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_physicalconnector_with_wmi,Checking CIM_PhysicalConnector with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_cim_slot_with_wmi,Checking CIM_Slot with WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_windows_is_genuine,Checking if Windows is Genuine,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_services_disk_enum_entries_for_vm_strings,Checking Services\Disk\Enum entries for VM strings,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_enum_ide_and_enum_scsi_entries_for_vm_strings,Checking Enum\IDE and Enum\SCSI entries for VM strings,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_smbios_tables,Checking SMBIOS tables,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_acpi_table_strings,Checking ACPI table strings,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_description_system_identifier_is_set_to_vbox,Checking reg key HARDWARE\Description\System - Identifier is set to VBOX,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_description_system_systembiosversion_is_set_to_vbox,Checking reg key HARDWARE\Description\System - SystemBiosVersion is set to VBOX,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_description_system_videobiosversion_is_set_to_virtualbox,Checking reg key HARDWARE\Description\System - VideoBiosVersion is set to VIRTUALBOX,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_description_system_systembiosdate_is_set_to_06_23_99,Checking reg key HARDWARE\Description\System - SystemBiosDate is set to 06/23/99,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_virtualbox_guest_additions_directory,Checking VirtualBox Guest Additions directory,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_drivers_vboxmouse_sys,Checking file C:\Windows\System32\drivers\VBoxMouse.sys,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
